Especie,Corpo,Cauda,Pata,Sexo
Necromys,86,66,21,F
Necromys,70,65,20,F
Necromys,98,72,22,M
Necromys,110,35,22,M
Necromys,99,43,21,M
Necromys,107,82,23,M
Necromys,115,80,20,M
Necromys,112,81,22,F
Necromys,113,88,23,F
Necromys,100,80,22,F
Necromys,84,69,22,F
Calomys,95,88,20,M
Calomys,84,70,21,M
Calomys,97,79,23,M
Calomys,63,62,19,F
Calomys,75,68,18,F
Calomys,69,53,16,F
Calomys,72,25,16,F
Gracilinanus,123,136,16,M
Gracilinanus,89,105,14,F
Gracilinanus,64,91,14,F
Gracilinanus,76,106,16,M
Gracilinanus,71,104,14,M
Gracilinanus,64,69,13,M
Gracilinanus,84,115,15,M
Gracilinanus,78,100,14,F
Thalpomys lasiotis,89,49,21,M
Thalpomys lasiotis,88,46,21,M
Thalpomys lasiotis,95,90,20,M
Thalpomys lasiotis,87,71,19,F
Thalpomys lasiotis,88,69,19,F
Thalpomys lasiotis,90,70,19,F
Thalpomys lasiotis,83,65,17,F
Thalpomys lasiotis,77,43,18,F
Thalpomys lasiotis,90,65,18,M
Thalpomys lasiotis,91,67,19,M
Thalpomys lasiotis,84,180,21,M
Thalpomys lasiotis,76,92,21,F
Thalpomys lasiotis,72,87,18,F
